Obs,year,nui,ciiu3,region,forpro,fabval,expval,va,emptot,rempag,vstk
156,2001,10175,2695,4,1,445738,0,264137,57,161390,43947
157,2001,10176,1512,4,1,1453639,1403609,1127498,83,332255,465322
158,2001,10177,1512,4,1,138336,0,815452,184,334223,610132
159,2001,10178,1512,4,1,1109890,223810,466818,78,174926,314278
160,2001,10179,1513,4,1,73642,0,46472,7,11344,31894
161,2001,10180,1541,4,1,173167,0,89853,19,41169,91276
162,2001,10181,1541,4,1,76742,0,40778,11,17228,988
163,2001,10182,1512,4,1,1011287,0,411740,103,210102,232968
164,2001,10183,1551,4,1,35119249,3021953,21074934,712,5190189,"2,20E+07"
165,2001,10184,1513,4,1,143759,0,73003,18,47376,32605
166,2001,10185,1541,4,1,222342,0,9601,25,61251,21820
167,2001,10186,1551,4,1,1406315,0,331371,16,124776,794977
168,2001,10187,1541,4,1,59343,0,20701,7,9784,2236
169,2001,10188,2695,4,1,107999,0,8456,16,30757,21148
170,2001,10189,1541,4,1,147684,0,76477,19,48462,52453
171,2001,10191,1541,4,1,91826,0,37305,18,25349,5146
172,2001,10192,1541,4,1,209824,0,528886,29,61052,64320
173,2001,10193,2520,4,1,224790,0,108105,13,40748,94963
174,2001,10195,1541,4,1,88151,0,43224,9,12647,19535
175,2001,10196,1541,4,1,165302,0,57636,23,25445,65926
176,2001,10197,1730,13,1,29705,0,21210,12,14838,64257
177,2001,10199,1730,5,1,39457,0,45382,19,24400,40183
178,2001,10200,1730,5,1,94806,0,63407,12,13988,37255
179,2001,10202,1730,5,1,10563,0,2284,8,13554,62007
180,2001,10203,1730,5,1,23450,0,40047,6,7560,68986
181,2001,10204,1730,5,1,153703,0,59638,17,19587,77154
182,2001,10205,1730,5,1,26495,0,24373,7,8995,4466
183,2001,10206,1711,5,1,28992,0,3451,9,9222,16195
184,2001,10207,1730,5,1,84775,0,24057,13,16725,94942
185,2001,10208,1730,5,1,458987,0,221074,20,26847,110369
186,2001,10209,1730,5,1,158197,0,13009,5,3676,5557
187,2001,10210,1730,5,1,96870,0,62459,10,17616,13885
188,2001,10212,1730,5,1,16101,0,65471,15,20134,403408
189,2001,10213,1531,5,1,2922325,0,563280,39,120678,659637
190,2001,10215,1513,5,2,3480905,2442114,1751688,180,431072,"1,10E+06"
191,2001,10216,3410,5,1,35805500,34218378,4332526,152,1193452,"1,10E+06"
192,2001,10217,2010,5,1,62304,0,243350,33,130320,221849
193,2001,10218,2691,5,1,54255,3284,104795,32,64387,168448
194,2001,10219,2925,5,4,0,0,1558226,27,423991,256933
195,2001,10220,3312,5,2,18682557,18671166,3821274,259,1906996,"3,60E+06"
196,2001,10221,1541,5,1,218609,0,107578,6,12531,76926
197,2001,10222,1531,5,1,3205786,0,1230081,47,141287,"2,00E+06"
198,2001,10223,1511,5,1,1970119,0,1492594,70,293598,"2,10E+06"
199,2001,10224,1541,5,1,39433,0,18290,7,10490,13859
200,2001,10226,1730,5,1,66494,0,16039,15,21600,108382
201,2001,10227,1541,5,1,49119,0,7984,11,13629,5365
202,2001,10228,1511,5,1,338775,0,125248,16,60984,31773
203,2001,10230,1541,5,1,246671,0,108946,31,51035,184896
204,2001,10232,1810,5,1,61098,0,28381,14,18600,3304
205,2001,10233,1513,5,1,14524090,10759003,5551178,620,2510533,"8,60E+06"
206,2001,10235,1541,5,1,81660,0,55610,18,32124,35700
207,2001,10236,3610,5,1,2636558,1136710,2543910,144,304831,845465
208,2001,10237,1541,5,1,120497,0,59292,26,36447,20686
209,2001,10239,2219,5,1,52838,0,53114,9,29725,44893
210,2001,10240,1531,5,1,770962,0,128983,7,19135,330237
211,2001,10241,1531,5,1,2369558,0,830368,31,112016,325535
212,2001,10242,2511,5,1,42002,0,57,18,34152,0
213,2001,10243,2695,5,1,197039,0,161502,21,62127,74824
214,2001,10245,2520,5,1,820831,0,351095,33,99723,70450
215,2001,10246,1552,5,1,11172774,9928966,5305401,282,1194309,"8,70E+06"
216,2001,10247,1541,5,1,135831,0,92413,52,53867,11507
217,2001,10248,1541,5,1,171843,0,77579,31,49657,53519
218,2001,10250,1513,5,1,300698,0,166406,23,22847,85786
219,2001,10251,1541,5,1,112468,0,66139,13,19976,15127
220,2001,10252,1541,5,1,62605,0,27236,13,21097,6776
221,2001,10253,1513,5,1,2592738,673037,1217420,165,535996,350782
222,2001,10254,2925,5,1,0,0,35699,25,61758,"1,00E+06"
223,2001,10255,1541,5,1,40210,0,20386,10,17842,13374
224,2001,10256,1541,5,1,115052,0,58194,18,25759,57555
225,2001,10260,1541,5,1,106000,0,77500,13,14674,0
226,2001,10261,1511,5,1,247287,0,594453,35,96636,198070
227,2001,10262,1541,5,1,122331,0,78350,19,33192,29755
228,2001,10263,1541,5,1,158791,0,82878,23,31625,173600
229,2001,10264,2811,5,1,145247,0,40000,7,10233,35739
230,2001,10265,1511,5,1,748057,0,358883,44,193648,336176
231,2001,10266,1541,5,1,105240,0,37703,17,59476,61217
232,2001,10267,1541,5,1,58388,0,14232,13,26142,0
233,2001,10268,1730,5,1,287669,0,129284,40,72369,462688
234,2001,10269,2429,5,1,810486,147818,531482,33,144516,822715
235,2001,10271,1532,5,1,21406,0,23723,5,6720,25169
236,2001,10273,1543,5,1,514171,0,390509,48,158386,190600
237,2001,10274,1541,5,1,123840,0,52851,20,29098,8132
238,2001,10275,1533,5,1,397060,0,97276,12,20404,98462
239,2001,10277,1541,5,1,244806,0,171621,29,74891,51112
240,2001,10278,1541,5,1,91540,0,17154,11,20355,1419
241,2001,10279,1541,5,1,330934,0,225398,37,89941,203330
242,2001,10280,2811,5,1,971393,130896,886723,76,292599,782837
243,2001,10281,1541,5,1,135061,0,122321,25,37573,3902
244,2001,10282,1541,5,1,86905,0,31487,8,16270,40167
245,2001,10285,1541,5,1,132313,0,66245,13,22813,16311
246,2001,10286,2219,5,1,86889,0,61655,13,38623,207924
247,2001,10287,1541,5,1,157585,0,78659,28,52449,37728
248,2001,10288,1541,5,1,140625,0,88738,42,66184,71888
249,2001,10290,3699,5,1,147073,0,96701,20,80864,11656
250,2001,10292,1810,5,1,183239,0,122680,36,54059,20125
251,2001,10293,2212,5,1,2206439,0,776723,308,2844450,"2,00E+06"
252,2001,10294,1511,5,1,226210,0,81860,26,58474,67616
253,2001,10295,2010,5,1,428678,0,708862,102,439193,271613
254,2001,10296,2109,5,1,1571484,0,857027,52,232929,"1,90E+06"
255,2001,10297,3610,5,1,1043663,0,774053,83,180846,656234
256,2001,10299,1511,5,1,531886,0,199048,31,110319,60207
257,2001,10302,2221,5,1,108098,0,81023,12,36248,63056
258,2001,10303,1911,5,1,126272,0,33663,22,53889,157014
259,2001,10305,2429,5,1,108900,0,101353,9,37850,162778
260,2001,10307,3430,5,1,51928,0,41499,9,22258,14169
261,2001,10308,1541,5,1,70500,0,23166,12,20139,24224
262,2001,10310,1541,5,1,117105,0,47800,11,34590,51755
263,2001,10311,1541,5,1,92237,0,45204,13,25402,6691
264,2001,10314,2925,5,1,508143,0,435103,25,146138,83939
265,2001,10315,2811,5,1,120393,0,24062,27,50242,13592
266,2001,10316,3610,5,1,418330,2712,443047,53,141413,225342
267,2001,10319,1541,5,1,145729,0,64162,19,37598,36915
268,2001,10320,1541,5,1,256086,0,79982,39,76011,147804
269,2001,10321,1541,5,1,206930,0,62586,42,81005,39335
270,2001,10323,1541,5,1,117885,0,72886,18,46272,8931
271,2001,10324,1541,5,1,138576,0,103338,18,32400,12489
272,2001,10325,2511,5,1,715242,0,302147,23,52030,262451
273,2001,10326,1810,5,1,63268,0,44583,20,27508,75569
274,2001,10327,1543,5,1,119408,0,112596,23,36074,23724
275,2001,10328,2610,5,1,23170,0,53644,11,19843,42096
276,2001,10329,2102,5,1,234432,0,185346,19,82758,122056
277,2001,10330,1541,5,1,59755,0,28872,12,16634,8867
278,2001,10331,2010,5,1,74400,0,158226,19,65463,85520
279,2001,10332,1541,5,1,269025,0,143492,36,50378,774
280,2001,10333,1810,5,1,387781,0,285048,93,180144,1838
281,2001,10334,1810,5,1,671951,0,430879,69,196562,106575
282,2001,10335,1729,5,1,67563,0,187119,20,100653,159394
283,2001,10336,1541,5,1,210493,0,124200,25,60857,25208
284,2001,10338,1541,5,1,94327,0,65081,21,26733,0
285,2001,10340,1541,5,1,73070,0,40229,15,25352,27501
286,2001,10341,3210,5,1,185838,0,164016,13,38006,42621
287,2001,10342,1721,5,1,29915,0,4107,6,11796,10747
288,2001,10344,2101,5,1,199171,0,141668,22,57407,185196
289,2001,10345,1541,5,1,77457,0,40339,12,13366,35228
290,2001,10346,1541,5,1,124520,0,106243,16,36126,124224
291,2001,10348,2102,5,1,10424216,339233,6266079,143,743539,"1,10E+07"
292,2001,10349,1541,5,1,125261,0,80161,10,35863,6237
293,2001,10350,1541,5,1,132516,0,97922,13,20673,8803
294,2001,10351,3320,5,1,444010,3340,350113,37,166290,153835
295,2001,10354,2520,5,2,905501,567538,728074,25,217103,"1,20E+06"
296,2001,10355,3110,5,1,957317,0,326157,86,260751,0
297,2001,10356,1541,5,1,125903,0,62934,18,37954,36618
298,2001,10357,1541,5,1,163524,0,124109,22,42122,14941
299,2001,10358,1541,5,1,97977,0,57582,16,30366,10516
300,2001,10360,2221,5,1,916533,0,528730,50,239562,"1,40E+06"
301,2001,10361,2930,5,1,223267,0,82286,15,82609,101961
302,2001,10363,1810,5,1,357349,0,239982,56,162531,160918
303,2001,10366,2695,5,1,51580,0,112236,21,69092,59744
304,2001,10367,1541,5,1,35375,0,9377,8,11979,8744
305,2001,10368,1541,5,1,71626,0,43152,14,30994,5585
306,2001,10369,1541,5,1,104625,0,59506,14,31318,13840
307,2001,10370,2422,5,1,2956084,227154,1163806,58,271785,101104
308,2001,10371,2520,5,1,2703076,496659,1660654,135,671988,528154
309,2001,10372,2520,5,1,6263002,644105,3182627,292,1334795,"9,10E+06"
310,2001,10375,2699,5,3,4370203,11066,1678014,12,92006,134860
311,2001,10376,2511,5,1,769494,0,524707,32,116647,399813
312,2001,10378,3110,5,1,6820903,125352,141621,236,1041446,"2,90E+06"
313,2001,10379,2811,5,1,82634,0,30220,11,13715,49338
314,2001,10381,1541,5,1,113369,0,89975,17,33170,40162
315,2001,10382,1912,5,1,1702868,0,2151833,150,396295,912017
316,2001,10384,1541,5,1,89166,0,55143,16,30992,93842
317,2001,10385,1541,5,1,408379,0,202206,45,71684,103572
318,2001,10386,1721,5,1,205697,154,185940,15,47079,61224
319,2001,10388,2699,5,1,8284681,0,5247226,74,266884,"2,10E+06"
320,2001,10390,2695,5,1,40078,0,4458,6,11437,10271
321,2001,10391,1512,5,1,49012,0,16249,9,10329,106246
322,2001,10392,2811,5,1,256130,0,148414,14,45080,49720
323,2001,10393,1512,5,1,1418950,1316430,706699,152,483605,455837
324,2001,10394,2010,5,1,185327,0,92913,22,55914,90821
325,2001,10395,1541,5,1,62184,0,32693,10,17786,59650
326,2001,10396,1541,5,1,289575,0,115919,30,61416,10779
327,2001,10397,1549,5,1,69593,0,79043,18,40766,0
328,2001,10398,3150,5,1,128683,0,86684,16,40352,133356
329,2001,10399,2010,5,1,103994,0,80381,21,50064,3655
330,2001,10400,3691,5,1,13975121,12733265,7828722,233,1591041,"6,30E+06"
331,2001,10401,2925,5,1,1349426,0,1290332,231,350547,793167
332,2001,10402,2022,5,1,98336,0,13822,14,42784,50424
333,2001,10403,2109,5,1,990325,67387,1271160,106,637603,"1,10E+06"
334,2001,10404,2899,5,1,0,0,2366654,333,1513022,"1,20E+06"
335,2001,10406,3610,5,1,209114,0,43629,13,29731,50493
336,2001,10407,2423,5,1,1650317,93482,1755754,75,353657,649299
337,2001,10408,3120,5,1,406172,0,320079,23,79660,138737
338,2001,10409,2899,5,1,20757665,1603915,13507344,36,773317,"1,20E+07"
339,2001,10410,1514,5,1,189150,1369,66518,14,22395,97940
340,2001,10412,1541,5,1,61388,0,61070,15,31518,15666
341,2001,10413,1541,5,1,163849,0,87985,22,39452,36079
342,2001,10414,1541,13,1,298752,0,176133,7,32006,39696
343,2001,10415,3150,5,1,117263,0,74730,10,22949,0
344,2001,10416,2610,5,1,82358,0,58304,10,18000,65522
345,2001,10417,1721,5,1,1354217,39007,988261,92,417099,449766
346,2001,10418,1541,5,1,42508,0,23076,16,15883,28187
347,2001,10419,2695,5,1,36659,0,45321,16,25745,132506
348,2001,10420,3699,5,1,1422217,4701,781630,42,233974,509389
349,2001,10421,1541,5,1,190867,0,76465,15,21657,29005
350,2001,10423,2520,5,1,100268,0,63818,10,35695,19688
351,2001,10424,1541,5,1,391549,0,197249,36,60202,58500
352,2001,10425,1810,5,1,191859,0,53234,25,57391,148756
353,2001,10426,1920,5,1,112514,0,91579,13,41755,144028
354,2001,10427,1512,5,1,618988,609451,294979,19,68646,93974
355,2001,10429,3610,5,1,4878581,6520,1962153,129,721007,"1,70E+06"
356,2001,10430,1551,5,1,91583,0,102176,10,22165,7921
357,2001,10431,2710,5,1,475479,0,112677,14,53360,37997
